,de_rand_one_alg,pso_alg,de_best_one_alg,soma_all_to_all_alg,soma_all_to_one_alg
ackley,1.0,2.0,3.0,4.0,5.0
sphere,1.0,2.0,3.0,4.0,5.0
rosenbrock,1.0,2.0,3.0,4.0,5.0
griewank,1.0,2.0,3.0,4.0,5.0
michalewicz,1.0,2.0,3.0,4.0,5.0
rastrigin,1.0,3.0,2.0,4.0,5.0
schwefel,2.0,4.0,5.0,1.0,3.0
multimodal_polynomial_mixture,1.0,2.0,3.0,4.0,5.0
zakharov,1.0,2.0,3.0,4.0,5.0
styblinski_tang,1.0,2.0,3.0,4.0,5.0
multimodal_sine_cosine_mixture,1.0,2.0,3.0,4.0,5.0
easom,2.0,1.0,4.0,3.0,5.0
schaffer_n2,2.0,2.0,2.0,4.0,5.0
schaffer_n4,2.0,1.0,5.0,3.0,4.0
six_hump_camel,2.0,2.0,2.0,4.0,5.0
schwefel_problem_2_21,3.0,4.0,5.0,1.0,2.0
rotated_hyper_ellipsoid,1.0,2.0,3.0,4.0,5.0
generalized_penalized_1,1.0,2.0,4.0,3.0,5.0
generalized_penalized_2,1.0,2.0,3.0,4.0,5.0
happy_cat,2.0,1.0,3.0,4.0,5.0
xin_she_yang__fnc,1.0,2.0,3.0,4.0,5.0
alpine_function,1.0,2.0,3.0,4.0,5.0
quartic_function,1.0,2.0,3.0,4.0,5.0
sum_of_different_powers,1.0,2.0,3.0,4.0,5.0
salomon_function,1.0,2.0,3.0,4.0,5.0
Sum,33.0,52.0,80.0,91.0,119.0
